,Eventdata
0,"[[[11.0, 0.3523297609605581, 0.02559126685529224, 4.0, 14, 0.20216509227433957, 0.00397497089557044], 1], [], [], [0.06073196604847908, 0.512766420841217, 0.426501601934433], 0]"
1,"[[], [[16.0, 0.3241049739883642, 0.07959446533537988, 2.0, 10, 0.18710241145871612, 0.013055892778717744], 0], [], [0.09341823309659958, 0.6303175091743469, 0.2762642502784729], 0]"
2,"[[], [], [], [0.1319315880537033, 0.5834903120994568, 0.2845780849456787], 0]"
3,"[[[36.0, 0.29379301996511464, 0.02913398017717451, 1.0, 15, 0.18386686345361086, 0.0022294294209101507], 1], [[36.0, 0.2572324906095191, 0.07225054143344728, 2.0, 26, 0.13772449378618368, 0.018426993085802913], 1], [], [0.13513413071632385, 0.7568315267562866, 0.10803432017564774], 0]"
4,"[[[26.0, 0.5005127485272592, 0.047453934522627333, 0.0, 0, 0.44756883421206795, 0.011617257292169598], 0], [], [[26.0, 0.5005127485272592, 0.06345409369316797, 0.0, 0, 0.44756883421206795, 17.652382473875747], 0], [0.14917850494384766, 0.7004812955856323, 0.15034019947052002], 0]"
5,"[[[23.0, 0.42173053852798803, 0.044157244070421146, 3.0, 5, 0.28884873515746, 0.00708152599159088], 1], [], [], [0.542364239692688, 0.1914145052433014, 0.266221284866333], 0]"
6,"[[], [[17.0, 0.5333923164857942, 0.0410924930049348, 0.0, 0, 0.5085537545678953, 0.015257435190174737], 0], [], [0.21275348961353302, 0.6356819272041321, 0.1515645682811737], 0]"
7,"[[], [], [[21.0, 0.2684108894638596, 0.13561411105786808, 0.0, 16, 0.1485243625227076, 5.69053789732252], 1], [0.1562957465648651, 0.7082045674324036, 0.1354997158050537], 0]"
8,"[[[9.0, 0.4251037626764661, 0.016196571433042154, 0.0, 10, 0.2611261222575296, 0.0020272822550130936], 0], [], [[9.0, 0.26000225918273306, 0.06834979444674333, 2.0, 16, 0.13719185423365488, 0.007840533396608094], 0], [0.1932801604270935, 0.5792009234428406, 0.22751890122890472], 0]"
9,"[[[16.0, 0.2983569118231061, 0.04676281904824286, 2.0, 20, 0.1572902903920246, 0.01578155990583762], 1], [], [], [0.05631082132458687, 0.5965642333030701, 0.34712496399879456], 0]"
10,"[[[13.0, 0.3008845436337201, 0.03080920501224983, 2.0, 24, 0.1819476798026812, 0.006117330618096669], 1], [], [[13.0, 0.2383100167709832, 0.11682048987292967, 1.0, 19, 0.0867635222477866, 0.015683612071158388], 0], [0.1445741206407547, 0.6828614473342896, 0.17256443202495575], 0]"
11,"[[[11.0, 0.2548795080052354, 0.056037062688832885, 3.0, 23, 0.11636969097815135, 0.01313782191056688], 0], [], [], [0.08216773718595505, 0.7978165149688721, 0.1200157180428505], 0]"
12,"[[], [[24.0, 0.3179083182777302, 0.061620981583881046, 4.0, 20, 0.26322262712409283, 0.018449546051197495], 0], [], [0.6848394870758057, 0.1948641538619995, 0.12029638886451721], 0]"
13,"[[[19.0, 0.28043057847871594, 0.04794082221708326, 0.0, 14, 0.19248016804734577, 0.008508659686003837], 0], [], [], [0.8021166324615479, 0.11514019221067429, 0.08274319767951965], 0]"
14,"[[], [], [], [0.11790781468153, 0.5190271735191345, 0.36306503415107727], 0]"
15,"[[[15.0, 0.6880192941830056, 0.022587758405786654, 0.0, 0, 0.6769825036862901, 0.006082511814025904], 1], [], [[15.0, 0.3260700859921817, 0.13744058193756398, 1.0, 11, 0.19514116874589627, -297372.02784830506], 1], [0.11937832087278366, 0.7860431671142578, 0.09457851201295853], 0]"
16,"[[[28.0, 0.41188790769417605, 0.025536888179021007, 0.0, 12, 0.2718116920702296, 0.0044857142639875315], 0], [], [], [0.06542076170444489, 0.44940245151519775, 0.48517677187919617], 0]"
17,"[[], [], [[13.0, 0.710698122906462, 0.036080334009646435, 0.0, 0, 0.6997579544465453, 0.005197019286273691], 1], [0.8347190022468567, 0.044998206198215485, 0.12028277665376663], 0]"
18,"[[[20.0, 0.4978647239687055, 0.011091212258625457, 7.0, 23, 0.4627876693165636, 0.0029933935689608095], 0], [], [[20.0, 0.2820398921574918, 0.08354744415364475, 2.0, 10, 0.1385730031289667, 0.016912791846753168], 0], [0.8556614518165588, 0.06399102509021759, 0.08034754544496536], 0]"
19,"[[], [], [[13.0, 0.42205276797300556, 0.544974587555866, 2.0, 2, 0.3129739665548775, 15.477731084998751], 0], [0.0488341860473156, 0.46582457423210144, 0.48534122109413147], 0]"
20,"[[], [[35.0, 0.24470616999754244, 0.04166234638730209, 0.0, 28, 0.13660331001380027, 0.006420297177345461], 0], [], [0.9317054152488708, 0.034997452050447464, 0.033297132700681686], 0]"
21,"[[], [[11.0, 0.41953067770861796, 0.07330809010532983, 0.0, 0, 0.32174564124505295, 0.01386326581985878], 1], [], [0.21417029201984406, 0.5852081179618835, 0.2006215751171112], 0]"
